PersonId,LastName,UsedFirstName,StraightDisplayName,Gender,LanguageEn,PartyEn,ConstituencyEn,ProvinceEn,TypeOfParliamentarianEn,DateOfBirth,DateOfBirthIsApproximate,CityOfBirthEn,ProvinceOfBirthEn,CountryOfBirthEn,IsCanadianOrigin,DiedInOffice,DateOfDeath,DeceasedOnDuty
507,Ahearn,Thomas Franklin,Thomas Franklin Ahearn,M,,Liberal Party of Canada (1930/07/28 - 1940/03/26),Ottawa West (1935/10/14 - 1940/03/26)|Ottawa (City of) (1930/07/28 - 1935/10/13),Ontario|Ontario,MP (1935/10/14 - 1940/03/26)|MP (1930/07/28 - 1935/10/13),1886-05-10,False,Ottawa,Ontario,Canada,False,False,1962-11-07,False
9980,Anderson,Alexander James,Alexander James Anderson,M,,National Government (1940/03/26 - 1945/06/03)|Conservative (1867-1942) (1925/10/29 - 1940/03/25),High Park (1935/10/14 - 1945/06/03)|Toronto--High Park (1925/10/29 - 1935/10/13),Ontario|Ontario,MP (1935/10/14 - 1945/06/03)|MP (1925/10/29 - 1935/10/13),1863-07-01,False,Adelaide,,Canada West,False,False,1946-06-03,True
10261,Anderson,Robert King,Robert King Anderson,M,,Conservative (1867-1942) (1921/12/06 - 1935/10/14)|Unionist (1917/12/17 - 1921/12/05),Halton (1917/12/17 - 1935/10/14),Ontario,MP (1917/12/17 - 1935/10/14),1861-08-29,False,Trafalgar Township,,Canada West,False,False,1950-07-04,False
7588,Arsenault,Telesphore,Telesphore Arsenault,M,,Conservative (1867-1942) (1930/07/28 - 1935/10/13),Kent (1930/07/28 - 1935/10/13),New Brunswick,MP (1930/07/28 - 1935/10/13),1872-01-01,False,Egmont Bay,Prince Edward Island,Canada,False,False,1964-01-13,False
11814,Arthurs,James,James Arthurs,M,,Conservative (1867-1942) (1921/12/06 - 1937/10/07)|Unionist (1917/12/17 - 1921/12/05)|Conservative (1867-1942) (1908/10/26 - 1917/12/16),Ontario (1935/07/20 - 1937/10/07)|Parry Sound (1908/10/26 - 1935/07/19),Ontario|Ontario,MP (1908/10/26 - 1935/07/19)|Senator (1935/07/20 - 1937/10/07),1866-10-04,False,Toronto,,Canada West,False,False,1937-10-07,True
12602,Aseltine,Walter Morley,Walter Morley Aseltine,M,,Progressive Conservative Party (1942/12/11 - 1971/03/31)|Conservative (1867-1942) (1933/12/30 - 1942/12/10),Rosetown (1933/12/30 - 1971/03/31),Saskatchewan,Senator (1933/12/30 - 1971/03/31),1886-09-03,False,Napanee,Ontario,Canada,False,False,1971-11-14,False
3679,Aylesworth,Allen Bristol,Allen Bristol Aylesworth,M,,Liberal Party of Canada (1923/01/11 - 1952/02/13)|Liberal Party of Canada (1905/11/22 - 1911/09/20),North York (1923/01/11 - 1952/02/13)|York North (1905/11/22 - 1911/09/20),Ontario|Ontario,MP (1905/11/22 - 1911/09/20)|Senator (1923/01/11 - 1952/02/13),1854-11-27,False,Camden Township,,Canada West,False,False,1952-02-13,True
16684,Bake,Richard Langton,Richard Langton Bake,M,,Conservative (1867-1942) (1930/07/28 - 1940/03/25)|Conservative (1867-1942) (1925/10/29 - 1926/09/13),Eglinton (1935/10/14 - 1940/03/26)|Toronto Northeast (1930/07/28 - 1935/10/13)|Toronto Northeast (1925/10/29 - 1926/09/13),Ontario|Ontario|Ontario,MP (1935/10/14 - 1940/03/26)|MP (1930/07/28 - 1935/10/13)|MP (1925/10/29 - 1926/09/13),1870-05-15,False,Strathroy,Ontario,Canada,False,False,1951-01-03,False
5729,Ballantyne,Charles Colquhoun,Charles Colquhoun Ballantyne,M,,Progressive Conservative Party (1942/12/11 - 1950/10/19)|Conservative (1867-1942) (1932/02/03 - 1942/12/10)|Unionist (1917/12/17 - 1921/12/05),Alma (1932/02/03 - 1950/10/19)|St. Lawrence--St. George (1917/12/17 - 1921/12/05),Quebec|Quebec,MP (1917/12/17 - 1921/12/05)|Senator (1932/02/03 - 1950/10/19),1867-08-09,False,Colquhoun,Ontario,Canada,False,False,1950-10-19,True
16350,Barbe,Harry James,Harry James Barbe,M,,Conservative (1867-1942) (1925/10/29 - 1940/03/25),Fraser Valley (1925/10/29 - 1940/03/25),British Columbia,MP (1925/10/29 - 1940/03/25),1875-03-29,False,Alton,Ontario,Canada,False,False,1959-02-11,False
