PersonRoleId,PersonId,LastName,UsedFirstName,StartDate,StartDateIsApproximate,EndDate,EndDateIsApproximate,EndReasonEn,EndReasonTypeEn,SourceOfInformationEn,IsActing,ActingTextEn,HasCrossedTheFloor,OrganizationId,OrganizationLongEn,OrganizationShortEn,OrganizationAcronymEn,OrganizationTypeId,OrganizationTypeEn,OrganizationProvinceEn,OrganizationHasProfile,IsSenatorialDivision,ToBeStyledAsEn,GroupId,Source,PortFolioEn,Committee,GroupingTitleEn,GroupingOrder,ParliamentStart,ParliamentEnd,ParliamentNumber,PartyOrganizationId,PartyEn,PartyStartDate,PartyEndDate,PersonPersonId,PersonLastName,PersonUsedFirstName,PersonGender,MemberOfParliament,IsMP,IsSenator,GovernorGeneral,NotesEn,InternalNotes,IsCurrent,RoleId,NameEn,Ordinal,Classes
266600,18479,Alleslev,Leona,1987-01-01,True,1997-01-01,True,,,,False,,False,1582,Canadian Forces (Air Force),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Retiring with the rank of Captain.,,False,211,Logistics Officer,,Military
322031,20051,Barrett,Michael,2010-08-28,False,2014-08-28,False,,,,False,,False,1581,Canadian Forces,,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,3057,Line Technician,,Military
111569,14226,Bergeron,Stéphane,1984-01-01,True,1993-01-01,True,,,,False,,False,1587,Canadian Forces (Navy),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,295,Cadet Instructor,,Military
266888,18597,Boudrias,Michel,,False,,False,,,,False,,False,7375,Royal 22e Régiment,,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Served in Afghanistan.,,True,1660,Infantry Officer,,Military
134959,17338,Brazeau,Patrick,,False,,False,,,,False,,False,1586,Canadian Forces (Navy Reserve),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,"Served on&nbsp;HMCS Carleton, in Ottawa.",,True,847,Military,,Military
318948,20139,Dalton,Marc,,False,,False,,,,False,,False,1544,Canadian Armed Forces Reserves,,,13,Military,,False,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,226,Member,300.0,Committee|ElectionProcessCloseDissolution
36432,13345,Day,Joseph A.,1963-01-01,True,1968-06-01,True,,,,False,,False,7381,Royal Canadian Air Force,,R.C.A.F.,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,847,Military,,Military
2560,16779,Downe,Percy E.,1970-01-01,True,1972-01-01,True,,,,False,,False,10933,Prince Edward Island Regiment (RCAC),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,567,Reservist,0.0,Military
134644,17305,Garneau,Marc,1974-01-01,True,1976-01-01,True,,,,False,,False,1587,Canadian Forces (Navy),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Served on HMCS Algonquin.,,False,2091,Combat systems engineer,0.0,Military
134645,17305,Garneau,Marc,1977-01-01,True,1989-01-01,True,,,,False,,False,1587,Canadian Forces (Navy),,,13,Military,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Promoted Commander in 1982 when he was at the Canadian Land Force Command and Staff College. Transferred to Ottawa in 1983. Promoted Captain in January 1986. Retired 1989.,,False,304,Captain,,Military
